corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,uc1.31822011301926,paris,en,74,"Wagner, Richard","Letters to Wesendonck et al. Translated and indexed by Wm. Ashton Ellis",1899,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,63606
Hathi,uc1.b3322044,paris,en,4,"Westbury, Hugh","The deliverance of Robert Carter.",1891,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,54708
Hathi,uiuo.ark:/13960/t5bc4j75r,paris,en,2,"Needell, J. H., Mrs","Julian Karslake's secret; a novel, by Mrs. John Hodder Needell.",1881,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,52649
Hathi,uc2.ark:/13960/t47p90b2t,paris,en,3,"Barrett, Frank","Little Lady Linton. A novel.",1884,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,52538
Hathi,njp.32101063605396,paris,en,2,"Challice, Annie Emma","The Sister of Charity; or, From Bermendsey to Belgravia.",1857,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,90531
Hathi,njp.32101062932916,paris,en,3,"Wedgwood, Julia","Framleigh Hall : a novel.",1858,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,77070
Hathi,uc2.ark:/13960/t6sx6cv79,paris,en,58,Ouida,"Chandos, a novel; by Ouida [pseud.]",1898,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,307175
Hathi,njp.32101073516567,paris,en,1,"Fielding, Henry",Amelia.,1898,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,130408
Hathi,uiuo.ark:/13960/t15m6gr74,paris,en,1,"Boyle, Frederick","The treasure of Thorburns : a novel / by Frederick Boyle.",1887,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,49979
Hathi,uc2.ark:/13960/t1jh3s00v,paris,en,17,"Lever, Charles James","Luttrell of Arran.",1873,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,276670
Hathi,uva.x000025626,paris,en,6,"Defoe, Daniel","Moll Flanders, and History of the devil.",1871,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,293183
