id,author,date,year,gender,title
mdp.39015005391365.txt,Conrad,1923,1857,m,'Twixt land and sea
uc1.b3325655.txt,Oliphant,1880,1828,f,A beleagrered city
uc1.b4571076.txt,Buck,1957,1892,f,A certain star / | $c: by Pearl S. Buck ; illustrated by Herschel Levit.
nyp.33433074942651.txt,Cooper,1844,1789,m,Afloat and ashore; or
nyp.33433074962196.txt,Oliphant,1867,1828,f,Agnes
uc1.b4099836.txt,Buck,1935,1892,f,A house divided / | $c: by Pearl S. Buck.
uc1.b4104630.txt,Oliphant,1883,1828,f,A little pilgrim
mdp.39015066051932.txt,Conrad,1923,1857,m,Almayer's folly; | a story of an eastern river.
uc1.32106006950585.txt,Defoe,1978,1660,m,An account of the conduct and proceedings of the late John Gow
uc1.32106006974338.txt,Defoe,1974,1660,m,A new voyage round the world
mdp.39015019761116.txt,Conrad,1896,1857,m,An outcast of the islands
mdp.39015030734449.txt,Conrad,1925,1857,m,A set of six
inu.30000029307232.txt,Oliphant,1872,1828,f,A son of the soil
mdp.39015014648482.txt,Cooper,1897,1789,m,Autobiography of a pocket-handkerchief
uc1.b3391077.txt,Buck,1952,1892,f,Bright procession.
njp.32101065192484.txt,Oliphant,1868,1828,f,Brownlows
nyp.33433074961859.txt,Oliphant,1851,1828,f,Caleb Field
uc1.$b323475.txt,Buck,1945,1892,f,China flight
nyp.33433074962147.txt,Oliphant,1862,1828,f,Chronicles of Carlingford;
uc1.$b86995.txt,Buck,1953,1892,f,Come
uc1.$b223958.txt,Buck,1959,1892,f,Command the morning
mdp.39015037058420.txt,Eliot,1876,1819,f,Daniel Deronda
mdp.39015051143322.txt,Buck,1965,1892,f,Death in the castle
pst.000029710980.txt,Buck,1970,1892,f,Dragon seed / | $c: by Pearl S. Buck.
uc1.b4938044.txt,Defoe,1974,1660,m,Due preparations for the plague
mdp.39015038902188.txt,Buck,1933,1892,f,East wind: west wind
uc1.b3492081.txt,Buck,1947,1892,f,Far and near; | stories of Japan
inu.32000002848879.txt,Eliot,1866,1819,f,Felix Holt
mdp.39015066052930.txt,Buck,1961,1892,f,Fourteen stories.
uc1.$b86997.txt,Buck,1951,1892,f,God's men.
coo.31924013530914.txt,Oliphant,1884,1828,f,Hester
mdp.39015063559374.txt,Oliphant,1883,1828,f,He that will not when he may
uc1.b3321343.txt,Cooper,1856,1789,m,Home as found
nyp.33433074942636.txt,Cooper,1842,1789,m,Homeward bound: or
mdp.39015053137116.txt,Buck,1956,1892,f,Imperial woman : | a novel / | $c: by Pearl S. Buck.
mdp.39015018395205.txt,Eliot,1879,1819,f,Impressions of Theophrastus Such
coo.31924013530930.txt,Oliphant,1873,1828,f,Innocent
uc1.b4571082.txt,Buck,1954,1892,f,Johnny Jack and his beginnings; | $c: illustrated by Kurt Werth.
