corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,njp.32101067633915,rome,en,5,"(Henry Rider), Haggard, H. Rider","Beatrice : a novel / by H. Rider Haggard.",1890,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,144069
Hathi,uc1.b3548776,rome,en,23,"Thackeray, William Makepeace",Works.,1886,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,214771
Hathi,nyp.33433074942784,rome,en,3,"Comyn, L. N","Atherstone priory / By L. N. Comyn.",1879,unknown,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,208034
Hathi,njp.32101068582962,rome,en,1,"Hook, James","Pen Owen ...",1869,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,246095
Hathi,nnc1.0050796267,rome,en,4,"Kingsley, Henry",Novels.,1896,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,119273
Hathi,uva.x030581128,rome,en,7,"Thackeray, William Makepeace","The works of William Makepeace Thackeray.",1886,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,89240
Hathi,uc2.ark:/13960/t17m05g94,rome,en,3,"A. L. O. E","Idols in the heart : a tale / by A.L.O.E.",1883,unknown,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,64839
Hathi,uc2.ark:/13960/t81j9bq4q,rome,en,10,"Grant, James","The captain of the guard.",1862,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,138893
Hathi,uiuo.ark:/13960/t9m33f72h,rome,en,1,"Randolph, Mrs","Little Pansy / by Mrs. Randolph.",1881,unknown,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,59960
Hathi,njp.32101066457423,rome,en,1,"Collins, Mortimer",Transmigration.,1883,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,168991
